Title,Portfolio,Domain,ReportURL,ReportPageTitle
Australian Community Pharmacy Authority,Health,health.gov.au,https://beta.health.gov.au/resources/publications/departmental-files-senate-order-12-listing,Departmental files (Senate Order 12 Listing) | Australian ...
Australian Sports Drug Medical Advisory Committee,Health,asdmac.gov.au,UNKNOWN,UNKNOWN
Complaints Resolution Panel,Health,tgacrp.com.au,UNKNOWN,UNKNOWN
Gene Technology Ethics and Community Consultative Committee,Health,ogtr.gov.au,http://www.ogtr.gov.au/internet/ogtr/publishing.nsf/Content/PC1-4/$FILE/PC1FACv1-1.pdf,Guidelines for Certification - OGTR
Gene Technology Regulator,Health,ogtr.gov.au,http://www.ogtr.gov.au/internet/ogtr/publishing.nsf/Content/PC1-4/$FILE/PC1FACv1-1.pdf,Guidelines for Certification - OGTR
Gene Technology Technical Advisory Committee,Health,ogtr.gov.au,http://www.ogtr.gov.au/internet/ogtr/publishing.nsf/Content/PC1-4/$FILE/PC1FACv1-1.pdf,Guidelines for Certification - OGTR
National Health and Medical Research Council - Australian Health Ethics Committee,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health and Medical Research Council - Commissioner of Complaints,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health and Medical Research Council - Council,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health and Medical Research Council - Embryo Research and Licensing Committee,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health and Medical Research Council - Health Innovation Advisory Committee,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health and Medical Research Council - Health Translation Advisory Committee,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health and Medical Research Council - Research Committee,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Industrial Chemicals Notification and Assessment Scheme,Health,nicnas.gov.au,https://www.nicnas.gov.au/about-us/how-we-work/cris-implementation-statement-2018-2019/cost-recovery-model,CRIS 2018-19 — Cost recovery model - nicnas.gov.au
National Pathology Accreditation Advisory Council,Health,health.gov.au,https://beta.health.gov.au/resources/publications/departmental-files-senate-order-12-listing,Departmental files (Senate Order 12 Listing) | Australian ...
Nuclear Safety Committee,Health,arpansa.gov.au,https://www.arpansa.gov.au/about-us/accessing-our-information/file-listing,File listing | ARPANSA
Pharmaceutical Benefits Advisory Committee,Health,pbs.gov.au,UNKNOWN,UNKNOWN
Professional Services Review - Determining Authority,Health,psr.gov.au,https://www.psr.gov.au/psr-agency-corporate-information/accountability-and-reporting,Accountability and reporting | Professional Services Review
Professional Services Review Panel,Health,psr.gov.au,https://www.psr.gov.au/psr-agency-corporate-information/accountability-and-reporting,Accountability and reporting | Professional Services Review
Radiation Health and Safety Advisory Council,Health,arpansa.gov.au,https://www.arpansa.gov.au/about-us/accessing-our-information/file-listing,File listing | ARPANSA
Radiation Health Committee,Health,arpansa.gov.au,https://www.arpansa.gov.au/about-us/accessing-our-information/file-listing,File listing | ARPANSA
Therapeutic Goods Advertising Code council,Health,tgacc.com.au,UNKNOWN,UNKNOWN
Department of Home Affairs,Home Affairs,homeaffairs.gov.au,https://www.homeaffairs.gov.au/reports-and-publications/reports/senate-orders,Senate Orders
Australian Criminal Intelligence Commission,Home Affairs,acic.gov.au,https://www.acic.gov.au/about-us/governance/senate-file-lists,Senate file lists | Australian Criminal Intelligence ...
Australian Federal Police,Home Affairs,afp.gov.au,https://www.afp.gov.au/about-us/governance-and-accountability/harradine-report,Harradine report | Australian Federal Police
Australian Institute of Criminology,Home Affairs,aic.gov.au,https://aic.gov.au/about-us/governance/senate-files-lists,Senate files lists | Australian Institute of Criminology
Australian Security Intelligence Organisation,Home Affairs,asio.gov.au,https://www.asio.gov.au/,Australian Security Intelligence Organisation
Australian Transaction Reports and Analysis Centre,Home Affairs,austrac.gov.au,http://www.austrac.gov.au/about-us/corporate-governance/file-list,File list | Australian Transaction Reports and Analysis ...
Australian Border Force Commissioner,Home Affairs,border.gov.au,UNKNOWN,UNKNOWN
Inspector of Transport Security,Home Affairs,infrastructure.gov.au,https://www.infrastructure.gov.au/department/file_listing/index.aspx,Indexed List of Departmental Files
Department of Human Services,Human Services (Part of the Social Services Portfolio),humanservices.gov.au,https://www.humanservices.gov.au/organisations/about-us/publications-and-resources/finances/indexed-list-files,Indexed list of files - Australian Government Department ...
Australian Hearing Services,Human Services (Part of the Social Services Portfolio),hearing.com.au,https://www.hearing.com.au/Corporate/Privacy,Privacy Policy - Australian Hearing
"Department of Industry, Innovation and Science","Industry, Innovation and Science",industry.gov.au,https://www.industry.gov.au/about-us/what-we-do/continuing-order-of-the-senate,Continuing Order of the Senate | Department of Industry ...
Australian Institute of Marine Science,"Industry, Innovation and Science",aims.gov.au,https://www.aims.gov.au/docs/publications/foi-02-indexed-list.html,FOI Indexed List - AIMS
Australian Nuclear Science and Technology Organisation,"Industry, Innovation and Science",ansto.gov.au,https://www.ansto.gov.au/sites/default/files/2019-01/2019_Senate_Order_on_Entity_Reporting.pdf,SENATE ORDER ENTITY CONTRACTS FBERUARY 2019
Commonwealth Scientific and Industrial Research Organisation,"Industry, Innovation and Science",www.csiro.au,https://www.csiro.au/en/About/Access-to-information,Access to information - CSIRO
Geoscience Australia,"Industry, Innovation and Science",ga.gov.au,http://www.ga.gov.au/__data/assets/pdf_file/0003/27507/Senate_Order.pdf,Geoscience Australia - Senate Continuing Order
IP Australia,"Industry, Innovation and Science",ipaustralia.gov.au,https://www.ipaustralia.gov.au/about-us/accountability-and-reporting/harradine-reports,Harradine reports | IP Australia
National Offshore Petroleum Safety and Environmental Management Authority,"Industry, Innovation and Science",nopsema.gov.au,https://www.nopsema.gov.au/assets/epdocuments/A676469.pdf,WA-523 P Drilling Exploration and Appraisal EP Summary
Northern Australia Infrastructure Facility,"Industry, Innovation and Science",naif.gov.au,https://naif.gov.au/corporate-reporting/reporting/,Reporting - NAIF
Anti-Dumping Commission,"Industry, Innovation and Science",adcommission.gov.au,https://adcommission.gov.au/cases/EPR%20451%20%20550/EPR%20487/487-001.2%20-%20AppAtt%20-%20Att%202%20Public%20Record%20USA%20Wind%20Tower%20Review%20Margins.pdf,AGENCY ACTION listing rule) citation for final SUMMARY ...
Anti-Dumping Review Panel,"Industry, Innovation and Science",adreviewpanel.gov.au,https://www.adreviewpanel.gov.au/PastReviews/Pages/20070821DutyNoticeHSSChina.aspx,Review of a decision to publish a dumping duty notice in ...
Australian Industry Participation Authority,"Industry, Innovation and Science",industry.gov.au,https://www.industry.gov.au/about-us/what-we-do/continuing-order-of-the-senate,Continuing Order of the Senate | Department of Industry ...
Innovation and Science Australia,"Industry, Innovation and Science",industry.gov.au,https://www.industry.gov.au/about-us/what-we-do/continuing-order-of-the-senate,Continuing Order of the Senate | Department of Industry ...
Innovation and Science Australia - Biomedical Translation Fund Committee,"Industry, Innovation and Science",industry.gov.au,https://www.industry.gov.au/about-us/what-we-do/continuing-order-of-the-senate,Continuing Order of the Senate | Department of Industry ...
Innovation and Science Australia - Entrepreneurs' Programme Committee,"Industry, Innovation and Science",business.gov.au,https://www.business.gov.au/,business.gov.au | Simple. Fast. Easy.
Innovation and Science Australia - Innovation Investment Committee,"Industry, Innovation and Science",industry.gov.au,https://www.industry.gov.au/about-us/what-we-do/continuing-order-of-the-senate,Continuing Order of the Senate | Department of Industry ...
Innovation and Science Australia - R&D Incentives Committee,"Industry, Innovation and Science",business.gov.au,https://www.business.gov.au/,business.gov.au | Simple. Fast. Easy.
National Measurement Institute,"Industry, Innovation and Science",measurement.gov.au,https://measurement.gov.au/Pages/FileList.aspx,File List - measurement.gov.au
National Offshore Petroleum Safety and Environmental Management Authority Board,"Industry, Innovation and Science",nopsema.gov.au,https://www.nopsema.gov.au/assets/epdocuments/A676469.pdf,WA-523 P Drilling Exploration and Appraisal EP Summary
National Offshore Petroleum Titles Administrator,"Industry, Innovation and Science",nopta.gov.au,https://www.nopta.gov.au/_documents/NOPTA-IndustryInfoSessionPerth.pdf,"RYDGES HOTEL, PERTH - nopta.gov.au"
Trans-Tasman IP Attorneys Board,"Industry, Innovation and Science",ttipattorney.gov.au,https://www.ttipattorney.gov.au/sites/g/files/net2711/f/18%20John%20Smith%20submission.pdf,"Dear Sirs, RE:- Code of conduct review. Independence"
Trans-Tasman IP Attorneys Disciplinary Tribunal,"Industry, Innovation and Science",ttipattorney.gov.au,https://www.ttipattorney.gov.au/sites/g/files/net2711/f/18%20John%20Smith%20submission.pdf,"Dear Sirs, RE:- Code of conduct review. Independence"
"Department of Infrastructure, Regional Development and Cities","Infrastructure, Regional Development and Cities",infrastructure.gov.au,https://www.infrastructure.gov.au/department/file_listing/index.aspx,Indexed List of Departmental Files
Airservices Australia,"Infrastructure, Regional Development and Cities",www.airservicesaustralia.com,http://www.airservicesaustralia.com/wp-content/uploads/CASR-Part-175-FAQ.pdf,Aeronautical Data Originator NOTAM FAQ’s
Australian Maritime Safety Authority,"Infrastructure, Regional Development and Cities",amsa.gov.au,https://www.amsa.gov.au/indexed-lists-agency-files-harradine-report,Indexed lists of agency files (Harradine report)
Australian Transport Safety Bureau,"Infrastructure, Regional Development and Cities",atsb.gov.au,https://www.atsb.gov.au/media/5775767/senate-order-atsb-files-1-july-2018-to-31-december-2018.pdf,Senate Order of Continuing Effect - ATSB Indexed List of ...
Civil Aviation Safety Authority,"Infrastructure, Regional Development and Cities",casa.gov.au,https://www.casa.gov.au/about-us/standard-page/casa-file-list,CASA file list | Civil Aviation Safety Authority
Infrastructure and Project Financing Agency,"Infrastructure, Regional Development and Cities",ipfa.gov.au,https://www.ipfa.gov.au/privacy-legals,Privacy and Legals | IPFA
Infrastructure Australia,"Infrastructure, Regional Development and Cities",infrastructureaustralia.gov.au,https://www.infrastructureaustralia.gov.au/about/accountability-reporting.aspx,Accountability and reporting - infrastructureaustralia.gov.au
National Capital Authority,"Infrastructure, Regional Development and Cities",nca.gov.au,https://www.nca.gov.au/about-the-NCA/corporate-documents/list-nca-files,List of NCA files | National Capital Authority
National Transport Commission,"Infrastructure, Regional Development and Cities",ntc.gov.au,https://www.ntc.gov.au/heavy-vehicles/safety/australian-dangerous-goods-code/,NTC - National Transport Commission
Administrator of Norfolk Island,"Infrastructure, Regional Development and Cities",regional.gov.au,https://www.regional.gov.au/local/lgifr/files/national-financing-authority-for-local-government-options-assessment-20130416.pdf,National financing authority for local government
Administrator of the Northern Territory,"Infrastructure, Regional Development and Cities",nt.gov.au,https://cvp.nt.gov.au/__data/assets/pdf_file/0006/189618/SenateSelectCommitteeonMentalHealth.pdf,SENATE SELECT COMMITTEE ON MENTAL HEALTH
Canberra National Memorials Committee,"Infrastructure, Regional Development and Cities",nca.gov.au,https://www.nca.gov.au/about-the-NCA/corporate-documents/list-nca-files,List of NCA files | National Capital Authority
International Air Services Commission,"Infrastructure, Regional Development and Cities",iasc.gov.au,https://www.iasc.gov.au/other_information/files/MOU%20IASC%20and%20DOT.pdf,www.iasc.gov.au
Registrar of Liner Shipping,"Infrastructure, Regional Development and Cities",infrastructure.gov.au,https://www.infrastructure.gov.au/department/file_listing/index.aspx,Indexed List of Departmental Files
Slot Compliance Committee,"Infrastructure, Regional Development and Cities",infrastructure.gov.au,https://www.infrastructure.gov.au/department/file_listing/index.aspx,Indexed List of Departmental Files
Special Magistrate of the Jervis Bay Territory,"Infrastructure, Regional Development and Cities",act.gov.au,https://www.parliament.act.gov.au/__data/assets/pdf_file/0009/375066/Report_of_Select_Committee_on_Privileges_2011.pdf,Possible improper interference with an Assembly committee ...
Department of Jobs and Small Business,Jobs and Small Business,jobs.gov.au,https://docs.jobs.gov.au/pages/information-routinely-provided-parliament,Information routinely provided to Parliament | Department ...
Asbestos Safety and Eradication Agency,Jobs and Small Business,asbestossafety.gov.au,https://www.asbestossafety.gov.au/sites/asea/files/documents/2019-02/ASEA_senate_order_on_agency_contracts_100k_2018_cal_year.docx,www.asbestossafety.gov.au
Australian Building and Construction Commission,Jobs and Small Business,abcc.gov.au,https://www.abcc.gov.au/about/access-information/file-listing,File listing | ABCC
Coal Mining Industry (Long Service Leave Funding) Corporation,Jobs and Small Business,coallsl.com.au,https://www.coallsl.com.au/files-reports/created-files,Created Files - coallsl.com.au
Comcare,Jobs and Small Business,comcare.gov.au,https://www.comcare.gov.au/Forms_and_Publications/publications/corporate_publications/harradine_reports,Harradine Reports - Comcare
Fair Work Commission,Jobs and Small Business,fwc.gov.au,https://www.fwc.gov.au/about-us/operations/agency-file-listing,Agency file listing | FWC Main Site
Fair Work Ombudsman and Registered Organisations Commission Entity,Jobs and Small Business,fairwork.gov.au,http://www.fairwork.gov.au/about-us/access-accountability-and-reporting/reporting-to-parliament/departmental-file-listing,Departmental file listing - Fair Work Ombudsman
Safe Work Australia,Jobs and Small Business,safeworkaustralia.gov.au,https://www.safeworkaustralia.gov.au/collection/harradine-indexed-file-lists,Harradine indexed file lists | Safe Work Australia
"Seafarers Safety, Rehabilitation and Compensation Authority",Jobs and Small Business,seacare.gov.au,http://www.seacare.gov.au/forms_and_publications/published_information/reports_and_responses_to_parilament/harradine_reports,Seacare Harradine Reports
Asbestos Safety and Eradication Agency Council,Jobs and Small Business,asbestossafety.gov.au,https://www.asbestossafety.gov.au/sites/asea/files/documents/2019-02/ASEA_senate_order_on_agency_contracts_100k_2018_cal_year.docx,www.asbestossafety.gov.au
Australian Small Business and Family Enterprise Ombudsman,Jobs and Small Business,asbfeo.gov.au,https://www.asbfeo.gov.au/sites/default/files/20180405%20Oversight%20of%20the%20AFCA%20RG139%20updated-ASIC.pdf,www.asbfeo.gov.au
Federal Safety Commissioner,Jobs and Small Business,fsc.gov.au,http://www.fsc.gov.au/sites/FSC/Resources/AZ/Documents/2014%20Scheme%20Review%20Discussion%20Paper.docx,www.fsc.gov.au
Registered Organisations Commission (ROC),Jobs and Small Business,roc.gov.au,UNKNOWN,UNKNOWN
"Safety, Rehabilitation and Compensation Commission",Jobs and Small Business,srcc.gov.au,https://www.srcc.gov.au/__data/assets/pdf_file/0017/37151/SRCC_Annual_Report_2003-04.pdf,"SAFETY, REHABILITATION AND COMPENSATION COMMISSION - SRCC"
Department of Parliamentary Services,Parliamentary Departments,aph.gov.au,https://www.aph.gov.au/Parliamentary_Business/Chamber_documents/Senate_chamber_documents/standingorders/d00/Procedural_orders_of_continuing_effect/d05,Orders for documents – Parliament of Australia
Department of the House of Representatives,Parliamentary Departments,aph.gov.au,https://www.aph.gov.au/Parliamentary_Business/Chamber_documents/Senate_chamber_documents/standingorders/d00/Procedural_orders_of_continuing_effect/d05,Orders for documents – Parliament of Australia
Department of the Senate,Parliamentary Departments,aph.gov.au,https://www.aph.gov.au/Parliamentary_Business/Chamber_documents/Senate_chamber_documents/standingorders/d00/Procedural_orders_of_continuing_effect/d05,Orders for documents – Parliament of Australia
Parliamentary Budget Office,Parliamentary Departments,pbo.gov.au,UNKNOWN,UNKNOWN
Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,pmc.gov.au,https://pmc.gov.au/who-we-are/accountability-and-reporting/departmental-indexed-files,Departmental indexed file lists | Department of the Prime ...
Anindilyakwa Land Council,Prime Minister and Cabinet,anindilyakwa.com.au,https://www.anindilyakwa.com.au/,Anindilyakwa Land Council
Australian Institute of Aboriginal and Torres Strait Islander Studies,Prime Minister and Cabinet,aiatsis.gov.au,https://aiatsis.gov.au/sites/default/files/docs/about-us/corp/aiatsis_senate_order_contract_listing_2017_2017_financial_year.pdf,2018 SENATE ORDER FOR CONTRACTS LISTING RELATING TO THE ...
Australian National Audit Office,Prime Minister and Cabinet,anao.gov.au,https://www.anao.gov.au/sites/default/files/ANAO_Report_2004-2005_10.pdf,The Senate Order for Departmental and Agency Contracts ...
Australian Public Service Commission,Prime Minister and Cabinet,apsc.gov.au,https://www.apsc.gov.au/parliamentary-reports-0,Parliamentary reports | Australian Public Service Commission
Central Land Council,Prime Minister and Cabinet,clc.org.au,https://www.clc.org.au/files/pdf/CLC-Senate_Order_Procurement_Contracts.PDF,Confidenti Confidentiality Confidenti Confidentiality ...
Digital Transformation Agency,Prime Minister and Cabinet,dta.gov.au,https://www.dta.gov.au/about-us/reporting-and-plans/our-contracts-and-spending,Our contracts and spending | Digital Transformation Agency
Indigenous Business Australia,Prime Minister and Cabinet,iba.gov.au,https://www.iba.gov.au/file-index/,File Index - Indigenous Business Australia
Indigenous Land and Sea Corporation,Prime Minister and Cabinet,ilc.gov.au,https://www.ilc.gov.au/IndigenousLandCorporation/media/Items/Content/Land%20Acquisition/Files/D_ILC-Senate-Order-Listing-Entity-Contracts-CY2018.pdf,2018 Calendar Year listing Senate Order Listing of Entity ...
North Queensland Livestock Industry Recovery Agency,Prime Minister and Cabinet,pmc.gov.au,https://pmc.gov.au/who-we-are/accountability-and-reporting/departmental-indexed-files,Departmental indexed file lists | Department of the Prime ...
Northern Land Council,Prime Minister and Cabinet,nlc.org.au,https://www.nlc.org.au/media-publications?publicationType=land-rights-news/,All documents | Northern Land Council
Office of National Intelligence,Prime Minister and Cabinet,oni.gov.au,https://www.oni.gov.au/contracts-listing,Senate Order on Non-Corporate Commonwealth Entity ...
Office of the Official Secretary to the Governor-General,Prime Minister and Cabinet,gg.gov.au,https://www.gg.gov.au/office-official-secretary-governor-general/senate-file-list,Senate File List | Governor-General of the Commonwealth of ...
Tiwi Land Council,Prime Minister and Cabinet,www.tiwilandcouncil.com,UNKNOWN,UNKNOWN
Torres Strait Regional Authority,Prime Minister and Cabinet,tsra.gov.au,http://www.tsra.gov.au/__data/assets/pdf_file/0004/2974/TSRA-2011-2012-Annual-Report-Section-1.pdf,TSRA Annual Report 2011-12 Section One: Strategic Overview
Workplace Gender Equality Agency,Prime Minister and Cabinet,wgea.gov.au,https://www.wgea.gov.au/,Welcome | WGEA
Aboriginals Benefit Account Advisory Committee,Prime Minister and Cabinet,dpmc.gov.au,UNKNOWN,UNKNOWN
Defence Force Remuneration Tribunal,Prime Minister and Cabinet,dfrt.gov.au,https://www.dfrt.gov.au/sites/g/files/net5891/f/dfrt-annual-report-2009-2010.pdf,DEFENCE FORCE REMUNERATION TRIBUNAL TWENTY-FIFTH REPORT ...
Executive Director Township Leasing,Prime Minister and Cabinet,otl.gov.au,https://www.otl.gov.au/sites/default/files/annual_report_2013.pdf,EXECUTIVE DIRECTOR OF TOWNSHIP LEASING - otl.gov.au
National Emergency Medal Committee,Prime Minister and Cabinet,itsanhonour.gov.au,UNKNOWN,UNKNOWN
Office of the Aboriginal Land Commissioner,Prime Minister and Cabinet,pmc.gov.au,https://pmc.gov.au/who-we-are/accountability-and-reporting/departmental-indexed-files,Departmental indexed file lists | Department of the Prime ...
Office of the Registrar of Aboriginal and Torres Strait Islander Corporations,Prime Minister and Cabinet,oric.gov.au,http://oric.gov.au/catsi-act/about-catsi-act,About the CATSI Act | Office of the Registrar of ...
Remuneration Tribunal,Prime Minister and Cabinet,remtribunal.gov.au,https://www.remtribunal.gov.au/sites/g/files/net5856/f/Parliamentary-Report-by-J-Egan.pdf,"The Attributes, Role and Reward Backbencher Federal Parliament"
Department of Social Services,Social Services,dss.gov.au,https://www.dss.gov.au/about-the-department/departmental-file-list,Departmental File List | Department of Social Services ...
Australian Institute of Family Studies,Social Services,aifs.gov.au,https://aifs.gov.au/sites/default/files/senate_order_on_entity_contracts_report.pdf,AIFS Customer Subject Matter of Agreement Amount of Start ...
National Disability Insurance Scheme Launch Transition Agency,Social Services,ndis.gov.au,https://www.ndis.gov.au/about-us/operational-guidelines/access-ndis-operational-guideline/list-conditions-which-are-likely-meet-disability-requirements-section-24-ndis-act,List A – Conditions which are likely to meet the ...
National Disability Insurance Scheme Actuary,Social Services,ndis.gov.au,https://www.ndis.gov.au/about-us/operational-guidelines/access-ndis-operational-guideline/list-conditions-which-are-likely-meet-disability-requirements-section-24-ndis-act,List A – Conditions which are likely to meet the ...
National Disability Insurance Scheme Independent Advisory Council,Social Services,ndis.gov.au,https://www.ndis.gov.au/about-us/operational-guidelines/access-ndis-operational-guideline/list-conditions-which-are-likely-meet-disability-requirements-section-24-ndis-act,List A – Conditions which are likely to meet the ...
National Disability Insurance Scheme Reviewing Actuary,Social Services,ndis.gov.au,https://www.ndis.gov.au/about-us/operational-guidelines/access-ndis-operational-guideline/list-conditions-which-are-likely-meet-disability-requirements-section-24-ndis-act,List A – Conditions which are likely to meet the ...
Department of the Treasury,Treasury,treasury.gov.au,https://treasury.gov.au/the-department/accountability-reporting/departmental-and-agency-file-list,Departmental and Agency File List | Treasury.gov.au
Australian Bureau of Statistics,Treasury,abs.gov.au,https://www.abs.gov.au/websitedbs/D3310114.nsf/home/Documents+tabled+in+parliament+by+the+abs,Documents tabled in Parliament by the ABS
Australian Competition and Consumer Commission,Treasury,accc.gov.au,https://www.accc.gov.au/about-us/australian-competition-consumer-commission/accountability/indexed-file-lists,Indexed file lists | ACCC
Australian Office of Financial Management,Treasury,aofm.gov.au,https://aofm.gov.au/publications/compliance-reports/indexed-list-of-agency-files/indexed-list-of-agency-files-1-july-to-31-december-2018/,Indexed List of Agency Files – 1 July to 31 December 2018 ...
Australian Prudential Regulation Authority,Treasury,apra.gov.au,https://www.apra.gov.au/accountability-and-reporting,Accountability and reporting | APRA
Australian Reinsurance Pool Corporation,Treasury,arpc.gov.au,https://arpc.gov.au/wp-content/blogs.dir/3/files/2019/02/ARPC-Senate-Continuing-Order-no.-12-for-period-1-Jul-to-31-Dec-2018.pdf,Australian Reinsurance Pool Corporation
Australian Securities and Investments Commission,Treasury,asic.gov.au,https://download.asic.gov.au/media/2225735/report-senate-order-no-10-201307-201312.pdf,Senate Order No. 10 - download.asic.gov.au
Australian Taxation Office,Treasury,ato.gov.au,https://www.ato.gov.au/About-ATO/Commitments-and-reporting/In-detail/Senate-Procedural-Orders-of-Continuing-Effect-No--12/,Senate Procedural Orders of Continuing Effect No. 12 ...
Commonwealth Grants Commission,Treasury,cgc.gov.au,https://www.cgc.gov.au/governance/reporting,Reporting | Commonwealth Grants Commission
Inspector-General of Taxation,Treasury,igt.gov.au,http://igt.gov.au/about-us/accountability-and-reporting/,Accountability and reporting | Inspector-General of Taxation
National Competition Council,Treasury,ncc.gov.au,http://ncc.gov.au/images/uploads/SOFLJD15-001.pdf,New files and new parts created by the National ...
National Housing Finance and Investment Corporation,Treasury,nhfic.gov.au,UNKNOWN,UNKNOWN
Office of the Auditing and Assurance Standards Board,Treasury,auasb.gov.au,https://www.auasb.gov.au/About-the-AUASB/Government-Reports.aspx,Government Reports - auasb.gov.au
Office of the Australian Accounting Standards Board,Treasury,aasb.gov.au,https://www.aasb.gov.au/About-the-AASB/Government-reports.aspx,Government reports - aasb.gov.au
Productivity Commission,Treasury,pc.gov.au,https://www.pc.gov.au/about/governance/agency-file-list,Senate Order: File List - Productivity Commission
Reserve Bank of Australia,Treasury,rba.gov.au,https://www.rba.gov.au/publications/annual-reports/rba/2018/accountability-and-communication.html,Accountability and Communication | Reserve Bank of ...
Royal Australian Mint,Treasury,ramint.gov.au,https://www.ramint.gov.au/sites/default/files/2019/Corporate_Website/Senate_orders/senate_order_jan_2019_0.pdf,SENATE ORDER ON DEPARTMENT AND AGENCY CONTRACTS LISTING ...
Australian Charities and Not-for-Profits Commission,Treasury,acnc.gov.au,https://www.acnc.gov.au/,ACNC - Australian Charities and Not-for-profits Commission
Australian Charities and Not-for-Profits Commission Advisory Board,Treasury,acnc.gov.au,https://www.acnc.gov.au/,ACNC - Australian Charities and Not-for-profits Commission
Australian Competition Tribunal,Treasury,competitiontribunal.gov.au,https://www.competitiontribunal.gov.au/about/corporate-information,Corporate Information - competitiontribunal.gov.au
Australian Energy Regulator,Treasury,aer.gov.au,https://www.aer.gov.au/system/files/AER%20submission%20-%20Bill%20to%20remove%20Limited%20Merits%20Review%20-%20Submission%20to%20the%20Senate%20Committee.pdf,19 September 2017 Committee Secretary Parliament House
Australian Government Competitive Neutrality Complaints Office,Treasury,pc.gov.au,https://www.pc.gov.au/about/governance/agency-file-list,Senate Order: File List - Productivity Commission
Australian Statistics Advisory Council,Treasury,asac.gov.au,UNKNOWN,UNKNOWN
Companies Auditors Disciplinary Board,Treasury,caldb.gov.au,UNKNOWN,UNKNOWN
Financial Reporting Council,Treasury,frc.gov.au,http://frc.gov.au/files/2014/02/APPC_Audit_Quality_in_Australia.pdf,Audit Quality in Australia A Brief Overview of Recent ...
Superannuation Complaints Tribunal,Treasury,sct.gov.au,https://sct.gov.au/pages/news-and-publications/overview,Superannuation Complaints Tribunal Publications Overview
Takeovers Panel,Treasury,takeovers.gov.au,https://www.takeovers.gov.au/content/resources/reports/compliance_reports.aspx,The Takeovers Panel
Tax Practitioners Board,Treasury,tpb.gov.au,https://www.tpb.gov.au/bas-services,BAS services | TPB
Department of Veterans' Affairs,Veterans' Affairs (part of the Defence Portfolio),dva.gov.au,https://www.dva.gov.au/about-dva/accountability-and-reporting/senate-orders/file-lists,File lists | Department of Veterans' Affairs
Australian War Memorial,Veterans' Affairs (part of the Defence Portfolio),awm.gov.au,https://www.awm.gov.au/about/organisation/corporate,Corporate Documents | The Australian War Memorial
Director of the Office of Australian War Graves,Veterans' Affairs (part of the Defence Portfolio),dva.gov.au,https://www.dva.gov.au/about-dva/accountability-and-reporting/senate-orders/file-lists,File lists | Department of Veterans' Affairs
Repatriation Medical Authority,Veterans' Affairs (part of the Defence Portfolio),rma.gov.au,http://www.rma.gov.au/assets/Publications/Files/7473fc0007/Twenty-fourth-Annual-Report-2017-2018.pdf,Twenty-fourth Annual Report 2017-2018 - rma.gov.au
Veterans' Review Board,Veterans' Affairs (part of the Defence Portfolio),vrb.gov.au,http://www.vrb.gov.au/pubs/filelist.html,Veterans' Review Board - File List - VRB
